"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"系统管理","运维管理-管理员审计","管理员日志模块查询接口","0","0","2","0","0"
"用户管理","基础数据管理-用户与机构管理","新增用户组接口","2","0","3","0","0"
"用户管理","基础数据管理-用户与机构管理","单个用户组删除接口","0","0","1","0","0"
"规则管理","基础规则-文件MD5","MD5模板下载接口","0","0","1","0","0"
"系统管理","运维管理-告警规则","新增告警规则接口","0","0","1","0","0"
"系统管理","运维管理-服务监控","查询服务器列表接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","根据数据源ID精确查找数据源接口","0","0","1","0","0"
"系统管理","运维管理-Syslog规则配置","停启用syslog接口","0","0","2","0","0"
"用户管理","基础数据管理-用户与机构管理","根据用户ID精确查询用户接口","0","0","1","0","0"
"用户管理","基础数据管理-用户与机构管理","修改用户接口","0","0","1","0","0"
"规则管理","基础规则-关键字/正则","文档规则列表查询接口","0","0","7","0","0"
"系统管理","运维管理-告警规则","查询监控报警规则接口","0","0","5","0","0"
"规则管理","基础规则-文件指纹","新增文档指纹库接口","0","0","2","0","0"
"系统管理","运维管理-Syslog规则配置","查看syslog规则集合接口","0","0","10","0","0"
"规则管理","基础规则-文件MD5","MD5导入接口","0","0","3","0","0"
"用户管理","基础数据管理-用户与机构管理","用户列表搜索接口","0","0","3","0","0"
"系统管理","权限管理-角色配置","角色详情查看接口","0","0","1","0","0"
"规则管理","基础规则-关键字/正则","文档规则导出excel接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","查询同步任务列表接口","0","0","2","0","0"
"系统管理","权限管理-角色配置","角色修改接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","数据源列表搜索接口","0","0","2","0","0"
"系统管理","参数管理-系统参数管理","根据propKey获取对应的propValue接口","0","0","2","0","0"
"系统管理","运维管理-告警规则","修改告警规则接口","0","0","1","0","0"
"系统管理","运维管理-管理员审计","管理员日志查看接口","0","0","6","0","0"
"规则管理","敏感级别-严重性等级管理","严重性等级修改接口","0","0","1","0","0"
"规则管理","基础规则-关键字/正则","文档规则模板下载接口","0","0","1","0","0"
"用户管理","基础数据管理-用户与机构管理","单个用户删除接口","0","0","1","0","0"
"系统管理","权限管理-管理员配置","管理员列表查询接口","0","0","4","0","0"
"系统管理","运维管理-日志备份配置","查询数据库接口","0","0","1","0","0"
"用户管理","基础数据管理-职位管理","删除职位接口","0","0","1","0","0"
"规则管理","基础规则-文件MD5","MD5名称列表查询接口","0","0","1","0","0"
"规则管理","基础规则-数据字典","文档规则导出excel接口","0","0","1","0","0"
"规则管理","基础规则-数据字典","数据字典模板下载接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","修改数据源配置接口","0","0","1","0","0"
"系统管理","参数管理-系统邮箱配置","系统邮箱验证接口","0","0","1","0","0"
"规则管理","基础规则-文件MD5","MD5导出接口","0","0","2","0","0"
"规则管理","基础规则-数据字典","文档规则新增接口","0","0","1","0","0"
"规则管理","基础规则-文件指纹","样本配置测试连通性接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","查询所有同步配置接口","0","0","1","0","0"
"规则管理","基础规则-数据字典","文档规则列表查询接口","0","0","4","0","0"
"规则管理","基础规则-文件MD5","MD5列表查询接口","0","0","2","0","0"
"用户管理","基础数据管理-职位管理","职位列表搜索接口","0","0","2","0","0"
"系统管理","运维管理-Syslog规则配置","查看syslog元数据接口","0","0","1","0","0"
"系统管理","运维管理-管理员审计","管理员日志查询条件初始化接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","测试数据源配置接口","0","0","1","0","0"
"规则管理","敏感级别-严重性等级管理","严重性等级列表查询接口","0","0","2","0","0"
"系统管理","运维管理-日志备份配置","查询数据库所有备份信息接口","0","0","2","0","0"
"用户管理","用户同步管理-用户同步","删除数据源配置接口","0","0","1","0","0"
"系统管理","运维管理-告警规则","删除告警规则接口","0","0","1","0","0"
"规则管理","基础规则-文件指纹","文档指纹库列表查询接口","0","0","4","0","0"
"用户管理","基础数据管理-用户与机构管理","修改用户组接口","0","0","1","0","0"
"系统管理","权限管理-角色配置","角色待选菜单列表接口","0","0","1","0","0"
"系统管理","运维管理-Syslog规则配置","查看syslog查询参数接口","0","0","1","0","0"
"系统管理","运维管理-Syslog规则配置","校验规则名称接口","0","0","4","0","0"
"系统管理","权限管理-管理员配置","管理员删除接口","0","0","1","0","0"
"系统管理","运维管理-日志备份配置","添加备份配置接口","0","0","1","0","0"
"系统管理","权限管理-管理员配置","管理员修改密码接口","0","0","1","0","0"
"系统管理","参数管理-系统参数管理","系统配置修改接口","0","0","3","0","0"
"用户管理","基础数据管理-用户与机构管理","新增用户接口","0","0","3","0","0"
"用户管理","基础数据管理-用户与机构管理","根据用户组ID精确查询用户组接口","0","0","1","0","0"
"规则管理","敏感级别-严重性等级管理","严重性等级新增接口","0","0","3","0","0"
"系统管理","运维管理-服务监控","查询集群列表接口","0","0","1","0","0"
"用户管理","基础数据管理-用户与机构管理","批量删除用户接口","0","0","1","0","0"
"系统管理","权限管理-角色配置","角色新增接口","0","0","1","0","0"
"规则管理","基础规则-关键字/正则","导入文档规则sheet接口","0","0","1","0","0"
"规则管理","基础规则-关键字/正则","文档规则导出数据核查接口","0","0","2","0","0"
"规则管理","基础规则-数据字典","文档规则导出数据核查接口","0","0","2","0","0"
"系统管理","运维管理-Syslog规则配置","获取所有可用于syslog的元数据字段信息接口","0","0","1","0","0"
"规则管理","基础规则-文件指纹","删除文档指纹库接口","0","0","1","0","0"
"用户管理","基础数据管理-用户与机构管理","用户组列表搜索接口","0","0","2","0","0"
"用户管理","基础数据管理-用户与机构管理","批量用户组删除接口","0","0","1","0","0"
"系统管理","权限管理-管理员配置","管理员批量创建接口","0","0","1","0","0"
"规则管理","基础规则-数据字典","文档规则更新接口","0","0","1","0","0"
"规则管理","基础规则-文件指纹","查询文档指纹库文件列表接口","0","0","1","0","0"
"系统管理","运维管理-管理员审计","管理员日志查询条件接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","同步配置列表搜索接口","0","0","2","0","0"
"规则管理","基础规则-关键字/正则","文档规则新增接口","0","0","3","0","0"
"用户管理","用户同步管理-用户同步","立即同步接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","新增同步配置接口","0","0","1","0","0"
"系统管理","参数管理-系统参数管理","系统配置查询接口","0","0","1","0","0"
"系统管理","运维管理-Syslog规则配置","添加syslog列表接口","0","0","1","0","0"
"系统管理","运维管理-Syslog规则配置","删除syslog信息接口","0","0","1","0","0"
"用户登录","用户登录模块","用户登录接口","0","0","3","0","0"
"系统管理","运维管理-日志备份配置","查询所有备份配置接口","0","0","2","0","0"
"规则管理","基础规则-关键字/正则","校验正则表达式是否重复接口","0","0","2","0","0"
"系统管理","权限管理-角色配置","角色列表接口","0","0","2","0","0"
"系统管理","运维管理-日志备份配置","按name_database查询备份配置接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","新增数据源配置接口","0","0","1","0","0"
"规则管理","基础规则-关键字/正则","文档规则更新接口","0","0","3","0","0"
"用户管理","用户同步管理-用户同步","删除同步配置接口","0","0","1","0","0"
"系统管理","运维管理-日志备份配置","删除备份配置接口","0","0","1","0","0"
"规则管理","基础规则-文件指纹","更新文档指纹库接口","0","0","2","0","0"
"用户管理","用户同步管理-用户推送","用户推送接口","0","0","1","0","0"
"规则管理","基础规则-数据字典","文档规则删除接口","0","0","1","0","0"
"用户管理","基础数据管理-职位管理","新增职位接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","修改同步配置接口","0","0","1","0","0"
"规则管理","基础规则-文件MD5","MD5删除接口","0","0","1","0","0"
"系统管理","权限管理-角色配置","角色删除接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","编辑，获取同步根组id接口","1","0","0","0","0"
"用户管理","用户同步管理-用户推送","同步用户列表状态查询接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","查询近几次的同步状态接口","0","0","1","0","0"
"规则管理","基础规则-文件指纹","指纹库新增界面的文件类型查询接口","0","0","2","0","0"
"用户管理","基础数据管理-用户与机构管理","用户组列表查看接口","0","0","1","0","0"
"规则管理","基础规则-数据字典","查询文档规则策略信息接口","0","0","1","0","0"
"规则管理","基础规则-文件指纹","重新计算指纹接口","0","0","1","0","0"
"系统管理","运维管理-日志备份配置","修改备份配置接口","0","0","1","0","0"
"规则管理","基础规则-数据字典","数据字典excel解析接口","0","0","1","0","0"
"规则管理","基础规则-关键字/正则","查询文档规则策略信息接口","0","0","1","0","0"
"系统管理","运维管理-告警信息","查询告警信息接口","0","0","1","0","0"
"用户管理","基础数据管理-用户与机构管理","用户信息导出接口","0","0","1","0","0"
"系统管理","运维管理-告警规则","状态启停接口","0","0","2","0","0"
"用户管理","基础数据管理-用户与机构管理","普通用户重置密码接口","0","0","1","0","0"
"用户管理","基础数据管理-用户与机构管理","地域列表查询接口","0","0","1","0","0"
"规则管理","敏感级别-严重性等级管理","严重性等级删除接口","0","0","1","0","0"
"系统管理","权限管理-管理员配置","管理员密码重置接口","0","0","1","0","0"
"系统管理","运维管理-Syslog规则配置","查看syslog规则详情接口","0","0","1","0","0"
"规则管理","基础规则-关键字/正则","文档规则删除接口","0","0","1","0","0"
"系统管理","运维管理-Syslog规则配置","修改syslog信息接口","0","0","1","0","0"
"用户管理","基础数据管理-职位管理","修改职位接口","0","0","1","0","0"
"系统管理","权限管理-管理员配置","管理员修改接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","根据taskID查询任务日志接口","0","0","1","0","0"
"系统管理","参数管理-系统邮箱配置","系统邮箱配置查询接口","0","0","1","0","0"
"规则管理","基础规则-文件指纹","查找远程服务器文件路径接口","0","0","1","0","0"
