"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 28 16:57:16 CST 2023","Wed Jun 28 16:57:16 CST 2023","190","bms.testcases","test_13_sysloginfo","TestSysLogInfo","","","管理员审计-根据系统标识联动查询一级模块","管理员审计-根据系统标识联动查询一级模块"
"failed","Wed Jun 28 16:56:21 CST 2023","Wed Jun 28 16:56:21 CST 2023","96","bms.testcases","test_04_user","TestUser","","","新增用户组-长度校验","新增用户组，用户组名称超长，新增失败，提示信息正确"
"passed","Wed Jun 28 16:56:53 CST 2023","Wed Jun 28 16:56:54 CST 2023","478","bms.testcases","test_100_delete","TestDelete","","","删除自动化测试用户组","删除自动化测试用户组"
"passed","Wed Jun 28 16:56:55 CST 2023","Wed Jun 28 16:56:55 CST 2023","67","bms.testcases","test_10_docmd5","TestDocMd5","","","MD5模板下载","MD5模板下载"
"passed","Wed Jun 28 16:57:19 CST 2023","Wed Jun 28 16:57:19 CST 2023","78","bms.testcases","test_14_alarmrules","TestAlarmRules","","","新增告警规则","输入正确的告警规则配置，新增告警规则"
"passed","Wed Jun 28 16:57:20 CST 2023","Wed Jun 28 16:57:20 CST 2023","409","bms.testcases","test_15_servermonitor","TestServerMonitor","","","查询服务器列表","查询服务器列表"
"passed","Wed Jun 28 16:55:44 CST 2023","Wed Jun 28 16:55:45 CST 2023","137","bms.testcases","test_02_usersync","TestUserSync","","","根据id查看数据源配置成功","输入正确的数据源id，查看数据源配置"
"passed","Wed Jun 28 16:57:24 CST 2023","Wed Jun 28 16:57:24 CST 2023","206","bms.testcases","test_16_syslogrule","TestSysLogRule","","","停用syslog规则-规则为启用状态","停用syslog规则-规则为启用状态"
"passed","Wed Jun 28 16:56:42 CST 2023","Wed Jun 28 16:56:42 CST 2023","325","bms.testcases","test_04_user","TestUser","","","获取用户信息","获取用户信息"
"passed","Wed Jun 28 16:56:42 CST 2023","Wed Jun 28 16:56:42 CST 2023","270","bms.testcases","test_04_user","TestUser","","","修改用户姓名成功","修改用户姓名成功"
"passed","Wed Jun 28 16:56:47 CST 2023","Wed Jun 28 16:56:47 CST 2023","105","bms.testcases","test_08_docrule","TestDocRule","","","文档规则列表查询-根据规则名称、规则类型查询模糊关键字规则","输入规则名称、规则类型搜索条件，查看文档规则列表"
"passed","Wed Jun 28 16:57:19 CST 2023","Wed Jun 28 16:57:19 CST 2023","80","bms.testcases","test_14_alarmrules","TestAlarmRules","","","查询监控报警规则列表-无筛选条件","查询监控报警规则列表-无筛选条件"
"passed","Wed Jun 28 16:56:56 CST 2023","Wed Jun 28 16:56:56 CST 2023","254","bms.testcases","test_11_docFinger","TestDocFinger","","","新增指纹库-本地上传-挂载","新增指纹库-本地上传-挂载"
"passed","Wed Jun 28 16:57:22 CST 2023","Wed Jun 28 16:57:23 CST 2023","150","bms.testcases","test_16_syslogrule","TestSysLogRule","","","查看syslog规则集合-根据syslog类型筛选","查看syslog规则集合-根据syslog类型筛选"
"passed","Wed Jun 28 16:56:54 CST 2023","Wed Jun 28 16:56:54 CST 2023","158","bms.testcases","test_10_docmd5","TestDocMd5","","","MD5导入覆盖","MD5导入覆盖"
"passed","Wed Jun 28 16:56:39 CST 2023","Wed Jun 28 16:56:40 CST 2023","299","bms.testcases","test_04_user","TestUser","","","搜索自动化测试组织机构下的用户列表-根据姓名条件","根据姓名搜索条件搜索自动化测试组织机构下的用户列表"
"passed","Wed Jun 28 16:56:45 CST 2023","Wed Jun 28 16:56:45 CST 2023","370","bms.testcases","test_07_role","TestRole","","","自动化测试角色详情查看","自动化测试角色详情查看"
"passed","Wed Jun 28 16:56:48 CST 2023","Wed Jun 28 16:56:49 CST 2023","370","bms.testcases","test_08_docrule","TestDocRule","","","导出自动化测试规则","导出自动化测试规则"
"passed","Wed Jun 28 16:55:46 CST 2023","Wed Jun 28 16:55:46 CST 2023","79","bms.testcases","test_02_usersync","TestUserSync","","","同步任务列表搜索-按时间范围搜索","输入时间范围，点击搜索，查看同步任务列表"
"passed","Wed Jun 28 16:56:45 CST 2023","Wed Jun 28 16:56:46 CST 2023","536","bms.testcases","test_07_role","TestRole","","","修改角色成功","修改角色名称"
"passed","Wed Jun 28 16:55:44 CST 2023","Wed Jun 28 16:55:44 CST 2023","141","bms.testcases","test_02_usersync","TestUserSync","","","数据源列表搜索-无搜索条件","不输入搜索条件，点击搜索，查看数据源列表"
"passed","Wed Jun 28 16:57:27 CST 2023","Wed Jun 28 16:57:28 CST 2023","544","bms.testcases","test_19_sysconfig","TestSysConfig","","","根据propKey获取对应的propValue-存在的propKey","根据propKey获取对应的propValue-存在的propKey"
"passed","Wed Jun 28 16:57:19 CST 2023","Wed Jun 28 16:57:19 CST 2023","250","bms.testcases","test_14_alarmrules","TestAlarmRules","","","新增CPU告警规则","输入正确的告警规则配置，修改告警规则"
"passed","Wed Jun 28 16:57:18 CST 2023","Wed Jun 28 16:57:19 CST 2023","839","bms.testcases","test_13_sysloginfo","TestSysLogInfo","","","管理员审计-根据系统标识、一级菜单、二级菜单、操作类型筛选","管理员审计-根据系统标识、一级菜单筛选"
"passed","Wed Jun 28 16:56:05 CST 2023","Wed Jun 28 16:56:05 CST 2023","63","bms.testcases","test_04_user","TestUser","","","新增用户组-重名校验","新增用户组，用户组名称已存在，新增失败，提示信息正确"
"passed","Wed Jun 28 16:57:15 CST 2023","Wed Jun 28 16:57:15 CST 2023","307","bms.testcases","test_12_dlpSeverityLevel","TestDlpSeverityLevel","","","修改严重性等级","输入正确的严重性等级配置，修改严重性等级"
"passed","Wed Jun 28 16:56:49 CST 2023","Wed Jun 28 16:56:49 CST 2023","202","bms.testcases","test_08_docrule","TestDocRule","","","文档规则模板下载","文档规则模板下载"
"passed","Wed Jun 28 16:56:53 CST 2023","Wed Jun 28 16:56:53 CST 2023","290","bms.testcases","test_100_delete","TestDelete","","","删除自动化测试用户","删除自动化测试用户"
"passed","Wed Jun 28 16:56:44 CST 2023","Wed Jun 28 16:56:44 CST 2023","94","bms.testcases","test_06_useradmin","TestUserAdmin","","","管理员列表搜索-按登录名、角色名组合搜索","输入登录名、组合名搜索条件，点击搜索，查看管理员列表"
"passed","Wed Jun 28 16:57:25 CST 2023","Wed Jun 28 16:57:25 CST 2023","52","bms.testcases","test_17_logbackup","TestLogBackup","","","查询数据库列表","查询数据库列表"
"passed","Wed Jun 28 16:56:54 CST 2023","Wed Jun 28 16:56:54 CST 2023","158","bms.testcases","test_100_delete","TestDelete","","","删除职位成功","删除职位"
"passed","Wed Jun 28 16:55:44 CST 2023","Wed Jun 28 16:55:44 CST 2023","77","bms.testcases","test_02_usersync","TestUserSync","","","数据源列表搜索-按数据源名称搜索","输入数据源名称，点击搜索，查看数据源列表"
